            JDTDB             Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,             X_s,             Y_s,             Z_s,            VX_s,            VY_s,            VZ_s,
********************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2453974.500000000, A.D. 2006-Aug-27 00:00:00.0000, -2.174803142544310E-01,  2.475980434009631E-01,  4.005869078038313E-02, -2.657993137902051E-02, -1.773042651316983E-02,  9.898948957238738E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453975.500000000, A.D. 2006-Aug-28 00:00:00.0000, -2.431416414703917E-01,  2.289132930471170E-01,  4.088632008276517E-02, -2.472229618367616E-02, -1.960057475829140E-02,  6.666344915408378E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453976.500000000, A.D. 2006-Aug-29 00:00:00.0000, -2.668894086911852E-01,  2.084739664963288E-01,  4.139499884978685E-02, -2.275807877781320E-02, -2.123966226104671E-02,  3.524703979317583E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453977.500000000, A.D. 2006-Aug-30 00:00:00.0000, -2.886323672254121E-01,  1.865101400781777E-01,  4.159515010810583E-02, -2.071746193868990E-02, -2.265035833068514E-02,  4.995437849513094E-05,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453978.500000000, A.D. 2006-Aug-31 00:00:00.0000, -3.083079341404978E-01,  1.632472862758916E-01,  4.149945138407873E-02, -1.862753897589478E-02, -2.383903647912428E-02, -2.389479480234846E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453979.500000000, A.D. 2006-Sep-01 00:00:00.0000, -3.258789775625486E-01,  1.389030513269015E-01,  4.112227642910710E-02, -1.651210233294081E-02, -2.481482516876882E-02, -5.127989549579629E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453980.500000000, A.D. 2006-Sep-02 00:00:00.0000, -3.413304978050046E-01,  1.136849325515568E-01,  4.047920089184327E-02, -1.439163672034532E-02, -2.558876327495375E-02, -7.706206403505959E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453981.500000000, A.D. 2006-Sep-03 00:00:00.0000, -3.546663796557467E-01,  8.778873737109030E-02,  3.958657838343923E-02, -1.228345913126350E-02, -2.617308343828209E-02, -1.011823228783480E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453982.500000000, A.D. 2006-Sep-04 00:00:00.0000, -3.659063365424764E-01,  6.139769220295992E-02,  3.846118724528565E-02, -1.020195484078414E-02, -2.658062869134208E-02, -1.236135853257850E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453983.500000000, A.D. 2006-Sep-05 00:00:00.0000, -3.750831209825102E-01,  3.468207046533223E-02,  3.711994416380056E-02, -8.158867893868575E-03, -2.682439580687042E-02, -1.443542589699179E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453984.500000000, A.D. 2006-Sep-06 00:00:00.0000, -3.822400391988456E-01,  7.799219323533416E-03,  3.557967827479628E-02, -6.163614476128934E-03, -2.691719185072385E-02, -1.634225640214704E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453985.500000000, A.D. 2006-Sep-07 00:00:00.0000, -3.874287808141589E-01, -1.910611981458347E-02,  3.385695818098607E-02, -4.223596624834040E-03, -2.687138723490383E-02, -1.808516369047488E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453986.500000000, A.D. 2006-Sep-08 00:00:00.0000, -3.907075559267677E-01, -4.590128487509289E-02,  3.196796400155247E-02, -2.344501338090678E-03, -2.669874797367534E-02, -1.966854149297350E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453987.500000000, A.D. 2006-Sep-09 00:00:00.0000, -3.921395200465955E-01, -7.246503169745501E-02,  2.992839686730183E-02, -5.305761010114615E-04, -2.641033085814376E-02, -2.109752514166193E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453988.500000000, A.D. 2006-Sep-10 00:00:00.0000, -3.917914607162984E-01, -9.868679315116885E-02,  2.775341892231613E-02,  1.215123736744099E-03, -2.601642713295919E-02, -2.237771853913290E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453989.500000000, A.D. 2006-Sep-11 00:00:00.0000, -3.897327167243732E-01, -1.244659009989273E-01,  2.545761771382656E-02,  2.890517200842577E-03, -2.552654246583627E-02, -2.351497795826109E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
