            JDTDB             Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,             X_s,             Y_s,             Z_s,            VX_s,            VY_s,            VZ_s,
********************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2453965.500000000, A.D. 2006-Aug-18 00:00:00.0000, -1.648570426116956E+00,  2.166979968893957E-02,  4.084113481303667E-02,  3.643372743780875E-04, -1.279251285645816E-02, -2.771617427349056E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453966.500000000, A.D. 2006-Aug-19 00:00:00.0000, -1.648151898112502E+00,  8.876825051257397E-03,  4.056263229439741E-02,  4.727311673515131E-04, -1.279329653023507E-02, -2.798406552773357E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453967.500000000, A.D. 2006-Aug-20 00:00:00.0000, -1.647624939691948E+00, -3.916513332479363E-03,  4.028145876288140E-02,  5.811972343070455E-04, -1.279324010571651E-02, -2.825037416452611E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453968.500000000, A.D. 2006-Aug-21 00:00:00.0000, -1.646989481308975E+00, -1.670937455797472E-02,  3.999763013190365E-02,  6.897302392478071E-04, -1.279234195824450E-02, -2.851508378661331E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453969.500000000, A.D. 2006-Aug-22 00:00:00.0000, -1.646245458663418E+00, -2.950091610771687E-02,  3.971116247774768E-02,  7.983249112106519E-04, -1.279060047973732E-02, -2.877817750662708E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453970.500000000, A.D. 2006-Aug-23 00:00:00.0000, -1.645392812726157E+00, -4.229029386191386E-02,  3.942207203966321E-02,  9.069759544328471E-04, -1.278801407926544E-02, -2.903963845393671E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453971.500000000, A.D. 2006-Aug-24 00:00:00.0000, -1.644431489765043E+00, -5.507666210987323E-02,  3.913037522028195E-02,  1.015678059225626E-03, -1.278458117920005E-02, -2.929945031337111E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453972.500000000, A.D. 2006-Aug-25 00:00:00.0000, -1.643361441371533E+00, -6.785917356026416E-02,  3.883608858627929E-02,  1.124425899770674E-03, -1.278030021035195E-02, -2.955759722680284E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453973.500000000, A.D. 2006-Aug-26 00:00:00.0000, -1.642182624487149E+00, -8.063697935060216E-02,  3.853922886880716E-02,  1.233214123181949E-03, -1.277516960884861E-02, -2.981406326056255E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453974.500000000, A.D. 2006-Aug-27 00:00:00.0000, -1.640895001429827E+00, -9.340922905761956E-02,  3.823981296358892E-02,  1.342037342385010E-03, -1.276918781391767E-02, -3.006883205346302E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453975.500000000, A.D. 2006-Aug-28 00:00:00.0000, -1.639498539921213E+00, -1.061750707091594E-01,  3.793785793119096E-02,  1.450890135808243E-03, -1.276235326993100E-02, -3.032188683263006E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453976.500000000, A.D. 2006-Aug-29 00:00:00.0000, -1.637993213115515E+00, -1.189336507965673E-01,  3.763338099784979E-02,  1.559767049456602E-03, -1.275466443649344E-02, -3.057321060061588E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453977.500000000, A.D. 2006-Aug-30 00:00:00.0000, -1.636378999628846E+00, -1.316841142866104E-01,  3.732639955642512E-02,  1.668662600065372E-03, -1.274611979910376E-02, -3.082278636591089E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453978.500000000, A.D. 2006-Aug-31 00:00:00.0000, -1.634655883567758E+00, -1.444256046333105E-01,  3.701693116676440E-02,  1.777571279556285E-03, -1.273671786642313E-02, -3.107059734655310E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453979.500000000, A.D. 2006-Sep-01 00:00:00.0000, -1.632823854557254E+00, -1.571572637906609E-01,  3.670499355554393E-02,  1.886487557159103E-03, -1.272645715618729E-02, -3.131662700584258E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453980.500000000, A.D. 2006-Sep-02 00:00:00.0000, -1.630882907769878E+00, -1.698782322262647E-01,  3.639060461637827E-02,  1.995405877621362E-03, -1.271533618737285E-02, -3.156085895369961E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453981.500000000, A.D. 2006-Sep-03 00:00:00.0000, -1.628833043956454E+00, -1.825876489348767E-01,  3.607378241058504E-02,  2.104320656780162E-03, -1.270335348462136E-02, -3.180327679367660E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453982.500000000, A.D. 2006-Sep-04 00:00:00.0000, -1.626674269477410E+00, -1.952846514512890E-01,  3.575454516811463E-02,  2.213226274353295E-03, -1.269050758587108E-02, -3.204386383599624E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453983.500000000, A.D. 2006-Sep-05 00:00:00.0000, -1.624406596333660E+00, -2.079683758635381E-01,  3.543291128804925E-02,  2.322117067989581E-03, -1.267679704671489E-02, -3.228260283280946E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453984.500000000, A.D. 2006-Sep-06 00:00:00.0000, -1.622030042197452E+00, -2.206379568277980E-01,  3.510889933877345E-02,  2.430987336578857E-03, -1.266222044329081E-02, -3.251947615527286E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453985.500000000, A.D. 2006-Sep-07 00:00:00.0000, -1.619544630444127E+00, -2.332925275846744E-01,  3.478252805833278E-02,  2.539831352492610E-03, -1.264677637384183E-02, -3.275446641819873E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453986.500000000, A.D. 2006-Sep-08 00:00:00.0000, -1.616950390184787E+00, -2.459312199751840E-01,  3.445381635510980E-02,  2.648643368647968E-03, -1.263046345540433E-02, -3.298755684137399E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453987.500000000, A.D. 2006-Sep-09 00:00:00.0000, -1.614247356299002E+00, -2.585531644556628E-01,  3.412278330841721E-02,  2.757417611781060E-03, -1.261328031803953E-02, -3.321873091585036E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453988.500000000, A.D. 2006-Sep-10 00:00:00.0000, -1.611435569467142E+00, -2.711574901128788E-01,  3.378944816870087E-02,  2.866148272112390E-03, -1.259522560039335E-02, -3.344797188388291E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453989.500000000, A.D. 2006-Sep-11 00:00:00.0000, -1.608515076203189E+00, -2.837433246807281E-01,  3.345383035766844E-02,  2.974829499790005E-03, -1.257629794879016E-02, -3.367526257136302E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453990.500000000, A.D. 2006-Sep-12 00:00:00.0000, -1.605485928889009E+00, -2.963097945581182E-01,  3.311594946890032E-02,  3.083455405918096E-03, -1.255649602334248E-02, -3.390058549770532E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453991.500000000, A.D. 2006-Sep-13 00:00:00.0000, -1.602348185809764E+00, -3.088560248267828E-01,  3.277582526888902E-02,  3.192020063283532E-03, -1.253581850996450E-02, -3.412392300201064E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453992.500000000, A.D. 2006-Sep-14 00:00:00.0000, -1.599101911189032E+00, -3.213811392688803E-01,  3.243347769779256E-02,  3.300517508874316E-03, -1.251426412729930E-02, -3.434525740918756E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453993.500000000, A.D. 2006-Sep-15 00:00:00.0000, -1.595747175223007E+00, -3.338842603853900E-01,  3.208892686949553E-02,  3.408941749365129E-03, -1.249183161885439E-02, -3.456457125413359E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453994.500000000, A.D. 2006-Sep-16 00:00:00.0000, -1.592284054114910E+00, -3.463645094157925E-01,  3.174219307150764E-02,  3.517286763865856E-03, -1.246851973972942E-02, -3.478184736343658E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453995.500000000, A.D. 2006-Sep-17 00:00:00.0000, -1.588712630110952E+00, -3.588210063582089E-01,  3.139329676542885E-02,  3.625546500920554E-03, -1.244432725399238E-02, -3.499706873278188E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
