Earth,x1,y1,Sun,x2,y2
,23834650.449740,66129620.679327,,1175903.980784,420527.927709
,22536187.263000,65694522.030952,,1187807.959805,429100.673403
,21230843.730891,65238389.062682,,1199775.016076,437866.256372
,19918800.876617,64760583.782018,,1211803.490023,446830.525569
,18600261.246825,64260442.900992,,1223891.524749,455999.561848
,17275450.985871,63737276.834781,,1236037.047020,465379.687146
,15944622.114111,63190368.696362,,1248237.746379,474977.473702
,14608055.030462,62618973.296686,,1260491.052200,484799.753218
,13266061.261255,62022316.162153,,1272794.108489,494853.625870
,11918986.479303,61399592.584062,,1285143.746205,505146.469022
,10567213.819012,60749966.718007,,1297536.452871,515685.945483
,9211167.515316,60072570.755260,,1309968.339208,526480.011101
,7851316.896085,59366504.192898,,1322435.102540,537536.921457
,6488180.759406,58630833.235091,,1334931.986656,548865.237353
,5122332.168640,57864590.364603,,1347453.737859,560473.828740
,3754403.699267,57066774.131359,,1359994.556858,572371.876657
,2385093.172061,56236349.214076,,1372548.046210,584568.872664
,1015169.906804,55372246.821582,,1385107.152989,597074.615167
,-354518.470710,54473365.512767,,1397664.106377,609899.201897
,-1723038.638735,53538572.528236,,1410210.349918,623053.017701
,-3089363.582185,52566705.742923,,1422736.468201,636546.716647
,-4452363.971274,51556576.367079,,1435232.107818,650391.197256
,-5810798.911128,50506972.543433,,1447685.892562,664597.569524
,-7163306.073397,49416664.010587,,1460085.332954,679177.112175
,-8508391.242623,48284408.026711,,1472416.730409,694141.218349
,-9844417.338954,47108956.772749,,1484665.076596,709501.327732
,-11169593.016190,45889066.479605,,1496813.948911,725268.842882
,-12481960.981814,44623508.547874,,1508845.403395,741455.027284
,-13779386.245359,43311082.949315,,1520739.867001,758070.882491
,-15059544.574840,41950634.213676,,1532476.031764,775127.001560
,-16319911.529343,40541070.308618,,1544030.754253,792633.395963
,-17557752.540071,39081384.709207,,1555378.964641,810599.293265
,-18770114.631576,37570681.920386,,1566493.590801,829032.903136
,-19953820.507611,36008206.653115,,1577345.504093,847941.149873
,-21105465.867088,34393376.753783,,1587903.494754,867329.370511
,-22221420.956923,32725819.837495,,1598134.286134,887200.978980
,-23297837.497361,31005413.370003,,1608002.598186,907557.098643
,-24330662.213670,29232327.673376,,1617471.271523,928396.168031
,-25315658.252266,27407070.994247,,1626501.463753,949713.527668
,-26248435.720333,25530535.375290,,1635052.929459,971500.999535
,-27124492.433464,23604041.625637,,1643084.393763,993746.474790
,-27939265.653399,21629381.223735,,1650554.026646,1016433.529618
,-28688195.121276,19608852.552550,,1657420.020819,1039541.093028
,-29366797.028835,17545288.524670,,1663641.269872,1063043.193603
,-29970747.731622,15442072.479650,,1669178.135737,1086908.813748
,-30495975.038176,13303139.308047,,1673993.285602,1111101.879392
,-30938753.888422,11132959.146857,,1678052.569068,1135581.409460
,-31295802.281322,8936501.742160,,1681325.897586,1160301.842588
,-31564372.569850,6719180.682429,,1683788.081430,1185213.548379
,-31742332.858787,4486778.103904,,1685419.575928,1210263.517685
,-31828233.339974,2245352.026013,,1686207.089611,1235396.212129
,-31821353.044924,1130.004547,,1686144.012822,1260554.539070
,-31721723.667424,-2239605.917382,,1685230.636123,1285680.906340
,-31530128.698260,-4470637.120778,,1683474.142357,1310718.303229
,-31248077.931014,-6685923.054943,,1680888.372925,1335611.351508
,-30877759.207314,-8879706.812479,,1677493.385402,1360307.273322
,-30421970.838905,-11046606.724981,,1673314.833995,1384756.730907
,-29884039.286722,-13181690.383117,,1668383.214849,1408914.505194
,-29267727.288461,-15280529.023312,,1662733.023783,1432739.994409
,-28577137.692691,-17339231.776208,,1656401.874664,1456197.528056
,-27816617.848026,-19354460.656440,,1649429.622876,1479256.504336
,-26990668.635341,-21323428.260921,,1641857.531344,1501891.369050
,-26103861.268143,-23243880.871624,,1633727.507788,1524081.460686
,-25160763.964013,-25114070.027602,,1625081.432460,1545810.749800
,-24165879.624698,-26932715.685010,,1615960.586814,1567067.501278
,-23123594.832919,-28698963.894950,,1606405.185920,1587843.886333
